table_name	column_name
mdl_chat_users	chatid
mdl_chat_users	userid
mdl_chat_users	groupid
mdl_chat_users	version
mdl_chat_users	ip
mdl_chat_users	firstping
mdl_chat_users	lastping
mdl_chat_users	lastmessageping
mdl_chat_users	sid
mdl_chat_users	course
mdl_chat_users	lang
mdl_choice	id
mdl_choice	course
mdl_choice	name
mdl_choice	intro
mdl_choice	introformat
mdl_choice	publish
mdl_choice	showresults
mdl_choice	display
mdl_choice	allowupdate
mdl_choice	allowmultiple
mdl_choice	showunanswered
mdl_choice	includeinactive
mdl_choice	limitanswers
mdl_choice	timeopen
mdl_choice	timeclose
mdl_choice	showpreview
mdl_choice	timemodified
mdl_choice	completionsubmit
mdl_choice_answers	id
mdl_choice_answers	choiceid
mdl_choice_answers	userid
mdl_choice_answers	optionid
mdl_choice_answers	timemodified
mdl_choice_options	id
mdl_choice_options	choiceid
mdl_choice_options	text
mdl_choice_options	maxanswers
mdl_choice_options	timemodified
mdl_cohort	id
mdl_cohort	contextid
mdl_cohort	name
mdl_cohort	idnumber
mdl_cohort	description
mdl_cohort	descriptionformat
mdl_cohort	visible
mdl_cohort	component
mdl_cohort	timecreated
mdl_cohort	timemodified
mdl_cohort_members	id
mdl_cohort_members	cohortid
mdl_cohort_members	userid
mdl_cohort_members	timeadded
mdl_comments	id
mdl_comments	contextid
mdl_comments	component
mdl_comments	commentarea
mdl_comments	itemid
mdl_comments	content
mdl_comments	format
mdl_comments	userid
mdl_comments	timecreated
mdl_competency	id
mdl_competency	shortname
mdl_competency	description
mdl_competency	descriptionformat
mdl_competency	idnumber
mdl_competency	competencyframeworkid
mdl_competency	parentid
mdl_competency	path
mdl_competency	sortorder
mdl_competency	ruletype
mdl_competency	ruleoutcome
mdl_competency	ruleconfig
mdl_competency	scaleid
mdl_competency	scaleconfiguration
mdl_competency	timecreated
mdl_competency	timemodified
mdl_competency	usermodified
mdl_competency_coursecomp	id
mdl_competency_coursecomp	courseid
mdl_competency_coursecomp	competencyid
mdl_competency_coursecomp	ruleoutcome
mdl_competency_coursecomp	timecreated
mdl_competency_coursecomp	timemodified
mdl_competency_coursecomp	usermodified
mdl_competency_coursecomp	sortorder
mdl_competency_coursecompsetting	id
mdl_competency_coursecompsetting	courseid
mdl_competency_coursecompsetting	pushratingstouserplans
mdl_competency_coursecompsetting	timecreated
mdl_competency_coursecompsetting	timemodified
mdl_competency_coursecompsetting	usermodified
